gstID,startTime_GST,allKpIndex,link,linkedEvents,submissionTime,versionId,CME_ActivityID
2019-05-14T03:00:00-GST-001,2019-05-14 03:00:00+00:00,"[{'observedTime': '2019-05-14T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2019-05-14T09:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14756/-1,,2019-05-14T06:33Z,1,
2019-08-31T12:00:00-GST-001,2019-08-31 12:00:00+00:00,"[{'observedTime': '2019-08-31T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2019-09-01T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/14996/-1,[{'activityID': '2019-08-30T12:17:00-HSS-001'}],2019-08-31T15:27Z,1,2019-08-30T12:17:00-HSS-001
2019-10-25T06:00:00-GST-001,2019-10-25 06:00:00+00:00,"[{'observedTime': '2019-10-25T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/15120/-1,[{'activityID': '2019-10-24T01:00:00-HSS-001'}],2019-10-25T09:27Z,1,2019-10-24T01:00:00-HSS-001
2020-09-27T21:00:00-GST-001,2020-09-27 21:00:00+00:00,"[{'observedTime': '2020-09-28T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2020-09-28T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/15887/-1,[{'activityID': '2020-09-27T17:38:00-HSS-001'}],2020-09-28T00:27Z,1,2020-09-27T17:38:00-HSS-001
2021-03-01T03:00:00-GST-001,2021-03-01 03:00:00+00:00,"[{'observedTime': '2021-03-01T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/16548/-1,"[{'activityID': '2021-02-28T21:41:00-HSS-001'}, {'activityID': '2021-02-28T23:03:00-IPS-001'}]",2021-03-01T06:35Z,1,2021-02-28T21:41:00-HSS-001
2021-03-20T06:00:00-GST-001,2021-03-20 06:00:00+00:00,"[{'observedTime': '2021-03-20T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/16630/-1,[{'activityID': '2021-03-19T19:00:00-HSS-001'}],2021-03-20T09:35Z,1,2021-03-19T19:00:00-HSS-001
2021-05-12T12:00:00-GST-001,2021-05-12 12:00:00+00:00,"[{'observedTime': '2021-05-12T15:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2021-05-12T18:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/16890/-1,"[{'activityID': '2021-05-09T11:23:00-CME-001'}, {'activityID': '2021-05-12T05:48:00-IPS-001'}, {'activityID': '2021-05-12T12:47:00-MPC-001'}]",2021-05-12T15:41Z,1,2021-05-09T11:23:00-CME-001
2021-10-12T03:00:00-GST-001,2021-10-12 03:00:00+00:00,"[{'observedTime': '2021-10-12T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2021-10-12T12:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/17940/-1,[{'activityID': '2021-10-09T07:09:00-CME-001'}],2021-10-12T06:36Z,1,2021-10-09T07:09:00-CME-001
2021-11-03T21:00:00-GST-001,2021-11-03 21:00:00+00:00,"[{'observedTime': '2021-11-04T00:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2021-11-04T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2021-11-04T09:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2021-11-04T12:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2021-11-04T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/18198/-1,"[{'activityID': '2021-11-01T18:38:00-CME-001'}, {'activityID': '2021-11-01T21:36:00-CME-001'}, {'activityID': '2021-11-02T02:48:00-CME-001'}, {'activityID': '2021-11-03T19:23:00-IPS-001'}, {'activityID': '2021-11-03T21:29:00-MPC-001'}]",2021-11-04T00:55Z,1,2021-11-01T18:38:00-CME-001
2022-01-14T21:00:00-GST-001,2022-01-14 21:00:00+00:00,"[{'observedTime': '2022-01-15T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/18841/-1,[{'activityID': '2022-01-14T21:39:00-HSS-001'}],2022-01-15T00:41Z,1,2022-01-14T21:39:00-HSS-001
