activityID,startTime,linkedEvents,GST_ActivityID
2022-10-11T11:36:00-CME-001,2022-10-11T11:36Z,"[{'activityID': '2022-10-11T10:47:00-FLR-001'}, {'activityID': '2022-10-14T08:12:00-IPS-001'}]",2022-10-11T10:47:00-FLR-001
2022-10-12T17:12:00-CME-001,2022-10-12T17:12Z,[{'activityID': '2022-10-12T16:26:00-FLR-001'}],2022-10-12T16:26:00-FLR-001
2022-10-17T18:12:00-CME-001,2022-10-17T18:12Z,[{'activityID': '2022-10-17T16:47:00-FLR-001'}],2022-10-17T16:47:00-FLR-001
2022-10-21T02:48:00-CME-001,2022-10-21T02:48Z,[{'activityID': '2022-10-21T01:07:00-FLR-001'}],2022-10-21T01:07:00-FLR-001
2022-10-25T19:36:00-CME-001,2022-10-25T19:36Z,[{'activityID': '2022-10-25T18:52:00-FLR-001'}],2022-10-25T18:52:00-FLR-001
2022-10-26T13:23:00-CME-001,2022-10-26T13:23Z,[{'activityID': '2022-10-26T12:31:00-FLR-001'}],2022-10-26T12:31:00-FLR-001
2022-11-03T08:48:00-CME-001,2022-11-03T08:48Z,"[{'activityID': '2022-11-03T06:58:00-FLR-001'}, {'activityID': '2022-11-07T07:40:00-IPS-001'}, {'activityID': '2022-11-10T14:55:00-RBE-001'}]",2022-11-03T06:58:00-FLR-001
2022-11-04T07:48:00-CME-001,2022-11-04T07:48Z,"[{'activityID': '2022-11-07T07:40:00-IPS-001'}, {'activityID': '2022-11-10T14:55:00-RBE-001'}]",2022-11-07T07:40:00-IPS-001
2022-11-07T00:48:00-CME-001,2022-11-07T00:48Z,"[{'activityID': '2022-11-07T00:02:00-FLR-001'}, {'activityID': '2022-11-10T09:12:00-IPS-001'}]",2022-11-07T00:02:00-FLR-001
2022-11-09T21:12:00-CME-001,2022-11-09T21:12Z,[{'activityID': '2022-11-09T19:46:00-FLR-001'}],2022-11-09T19:46:00-FLR-001
2022-11-12T19:12:00-CME-001,2022-11-12T19:12Z,[{'activityID': '2022-11-12T18:01:00-FLR-001'}],2022-11-12T18:01:00-FLR-001
2022-11-13T11:36:00-CME-001,2022-11-13T11:36Z,[{'activityID': '2022-11-17T02:58:00-IPS-001'}],2022-11-17T02:58:00-IPS-001
2022-11-14T03:24:00-CME-001,2022-11-14T03:24Z,"[{'activityID': '2022-11-14T02:44:00-FLR-001'}, {'activityID': '2022-11-18T15:54:00-IPS-001'}]",2022-11-14T02:44:00-FLR-001
2022-11-14T19:12:00-CME-001,2022-11-14T19:12Z,[{'activityID': '2022-11-14T18:04:00-FLR-001'}],2022-11-14T18:04:00-FLR-001
2022-11-18T09:36:00-CME-001,2022-11-18T09:36Z,[{'activityID': '2022-11-18T08:57:00-FLR-001'}],2022-11-18T08:57:00-FLR-001
2022-11-18T12:00:00-CME-001,2022-11-18T12:00Z,[{'activityID': '2022-11-18T11:23:00-FLR-001'}],2022-11-18T11:23:00-FLR-001
2022-11-19T07:36:00-CME-001,2022-11-19T07:36Z,[{'activityID': '2022-11-19T06:05:00-FLR-001'}],2022-11-19T06:05:00-FLR-001
2022-11-19T09:48:00-CME-001,2022-11-19T09:48Z,"[{'activityID': '2022-11-22T06:22:00-IPS-001'}, {'activityID': '2022-11-22T14:44:00-IPS-001'}]",2022-11-22T06:22:00-IPS-001
2022-11-19T13:53:00-CME-001,2022-11-19T13:53Z,[{'activityID': '2022-11-19T12:42:00-FLR-001'}],2022-11-19T12:42:00-FLR-001
2022-11-22T08:00:00-CME-001,2022-11-22T08:00Z,[{'activityID': '2022-11-22T06:59:00-FLR-001'}],2022-11-22T06:59:00-FLR-001
2022-11-22T20:24:00-CME-001,2022-11-22T20:24Z,[{'activityID': '2022-11-22T18:49:00-FLR-001'}],2022-11-22T18:49:00-FLR-001
2022-11-29T14:38:00-CME-001,2022-11-29T14:38Z,[{'activityID': '2022-11-29T13:11:00-FLR-001'}],2022-11-29T13:11:00-FLR-001
2022-12-01T07:48:00-CME-001,2022-12-01T07:48Z,"[{'activityID': '2022-12-01T07:04:00-FLR-001'}, {'activityID': '2022-12-04T12:09:00-IPS-001'}]",2022-12-01T07:04:00-FLR-001
2022-12-03T02:12:00-CME-001,2022-12-03T02:12Z,[{'activityID': '2022-12-03T01:46:00-FLR-001'}],2022-12-03T01:46:00-FLR-001
2022-12-03T18:00:00-CME-001,2022-12-03T18:00Z,[{'activityID': '2022-12-03T17:36:00-FLR-001'}],2022-12-03T17:36:00-FLR-001
2022-12-09T14:49:00-CME-001,2022-12-09T14:49Z,[{'activityID': '2022-12-09T13:59:00-FLR-001'}],2022-12-09T13:59:00-FLR-001
2022-12-11T12:12:00-CME-001,2022-12-11T12:12Z,[{'activityID': '2022-12-11T11:28:00-FLR-001'}],2022-12-11T11:28:00-FLR-001
2022-12-13T23:48:00-CME-001,2022-12-13T23:48Z,[{'activityID': '2022-12-13T23:12:00-FLR-001'}],2022-12-13T23:12:00-FLR-001
2022-12-14T04:36:00-CME-001,2022-12-14T04:36Z,[{'activityID': '2022-12-14T03:23:00-FLR-001'}],2022-12-14T03:23:00-FLR-001
2022-12-14T08:36:00-CME-001,2022-12-14T08:36Z,[{'activityID': '2022-12-14T08:24:00-FLR-001'}],2022-12-14T08:24:00-FLR-001
2022-12-14T08:48:00-CME-001,2022-12-14T08:48Z,[{'activityID': '2022-12-14T07:30:00-FLR-001'}],2022-12-14T07:30:00-FLR-001
2022-12-14T18:12:00-CME-002,2022-12-14T18:12Z,[{'activityID': '2022-12-14T17:03:00-FLR-001'}],2022-12-14T17:03:00-FLR-001
2022-12-15T01:55:00-CME-001,2022-12-15T01:55Z,[{'activityID': '2022-12-14T21:57:00-FLR-001'}],2022-12-14T21:57:00-FLR-001
2022-12-15T09:48:00-CME-001,2022-12-15T09:48Z,[{'activityID': '2022-12-15T07:54:00-FLR-001'}],2022-12-15T07:54:00-FLR-001
2022-12-16T05:12:00-CME-001,2022-12-16T05:12Z,[{'activityID': '2022-12-16T04:42:00-FLR-001'}],2022-12-16T04:42:00-FLR-001
2022-12-17T20:12:00-CME-001,2022-12-17T20:12Z,[{'activityID': '2022-12-17T19:40:00-FLR-001'}],2022-12-17T19:40:00-FLR-001
2022-12-17T22:36:00-CME-001,2022-12-17T22:36Z,[{'activityID': '2022-12-17T21:58:00-FLR-001'}],2022-12-17T21:58:00-FLR-001
2022-12-18T10:36:00-CME-001,2022-12-18T10:36Z,[{'activityID': '2022-12-18T10:00:00-FLR-001'}],2022-12-18T10:00:00-FLR-001
2022-12-19T12:00:00-CME-001,2022-12-19T12:00Z,[{'activityID': '2022-12-19T11:36:00-FLR-001'}],2022-12-19T11:36:00-FLR-001
2022-12-19T23:12:00-CME-001,2022-12-19T23:12Z,[{'activityID': '2022-12-19T22:07:00-FLR-001'}],2022-12-19T22:07:00-FLR-001
2022-12-24T02:48:00-CME-001,2022-12-24T02:48Z,"[{'activityID': '2022-12-26T00:33:00-IPS-001'}, {'activityID': '2022-12-26T08:00:00-IPS-001'}, {'activityID': '2022-12-27T17:05:00-RBE-001'}]",2022-12-26T00:33:00-IPS-001
2022-12-25T07:24:00-CME-001,2022-12-25T07:24Z,[{'activityID': '2022-12-25T06:53:00-FLR-001'}],2022-12-25T06:53:00-FLR-001
2022-12-25T19:12:00-CME-001,2022-12-25T19:12Z,[{'activityID': '2022-12-25T16:30:00-FLR-001'}],2022-12-25T16:30:00-FLR-001
2022-12-30T16:53:00-CME-001,2022-12-30T16:53Z,"[{'activityID': '2022-12-30T15:24:00-FLR-001'}, {'activityID': '2023-01-03T16:26:00-IPS-001'}, {'activityID': '2023-01-04T17:00:00-IPS-001'}]",2022-12-30T15:24:00-FLR-001
2023-01-03T06:36:00-CME-001,2023-01-03T06:36Z,[{'activityID': '2023-01-04T06:20:00-FLR-001'}],2023-01-04T06:20:00-FLR-001
2023-01-08T05:00:00-CME-001,2023-01-08T05:00Z,[{'activityID': '2023-01-12T07:00:00-IPS-001'}],2023-01-12T07:00:00-IPS-001
2023-01-08T11:00:00-CME-001,2023-01-08T11:00Z,[{'activityID': '2023-01-08T09:12:00-FLR-001'}],2023-01-08T09:12:00-FLR-001
2023-01-09T11:23:00-CME-001,2023-01-09T11:23Z,[{'activityID': '2023-01-09T08:45:00-FLR-001'}],2023-01-09T08:45:00-FLR-001
2023-01-10T00:36:00-CME-001,2023-01-10T00:36Z,[{'activityID': '2023-01-10T00:09:00-FLR-001'}],2023-01-10T00:09:00-FLR-001
2023-01-10T23:12:00-CME-001,2023-01-10T23:12Z,[{'activityID': '2023-01-10T22:39:00-FLR-001'}],2023-01-10T22:39:00-FLR-001
2023-01-11T01:25:00-CME-001,2023-01-11T01:25Z,[{'activityID': '2023-01-11T00:39:00-FLR-001'}],2023-01-11T00:39:00-FLR-001
2023-01-11T09:48:00-CME-001,2023-01-11T09:48Z,[{'activityID': '2023-01-11T08:25:00-FLR-001'}],2023-01-11T08:25:00-FLR-001
2023-01-14T21:36:00-CME-001,2023-01-14T21:36Z,[{'activityID': '2023-01-14T20:37:00-FLR-001'}],2023-01-14T20:37:00-FLR-001
2023-01-15T03:48:00-CME-001,2023-01-15T03:48Z,"[{'activityID': '2023-01-15T03:08:00-FLR-001'}, {'activityID': '2023-01-17T14:32:00-IPS-001'}]",2023-01-15T03:08:00-FLR-001
2023-01-15T05:00:00-CME-001,2023-01-15T05:00Z,"[{'activityID': '2023-01-15T03:08:00-FLR-001'}, {'activityID': '2023-01-17T14:32:00-IPS-001'}]",2023-01-15T03:08:00-FLR-001
2023-01-18T03:48:00-CME-001,2023-01-18T03:48Z,[{'activityID': '2023-01-18T01:35:00-FLR-001'}],2023-01-18T01:35:00-FLR-001
2023-01-19T11:36:00-CME-001,2023-01-19T11:36Z,[{'activityID': '2023-01-19T10:26:00-FLR-001'}],2023-01-19T10:26:00-FLR-001
2023-01-20T13:38:00-CME-001,2023-01-20T13:38Z,[{'activityID': '2023-01-23T02:59:00-IPS-001'}],2023-01-23T02:59:00-IPS-001
2023-01-20T16:12:00-CME-001,2023-01-20T16:12Z,"[{'activityID': '2023-01-20T13:47:00-FLR-001'}, {'activityID': '2023-01-23T02:59:00-IPS-001'}]",2023-01-20T13:47:00-FLR-001
2023-01-24T15:24:00-CME-001,2023-01-24T15:24Z,[{'activityID': '2023-01-24T13:59:00-FLR-001'}],2023-01-24T13:59:00-FLR-001
2023-02-05T11:36:00-CME-001,2023-02-05T11:36Z,[{'activityID': '2023-02-05T10:37:00-FLR-001'}],2023-02-05T10:37:00-FLR-001
2023-02-06T12:36:00-CME-001,2023-02-06T12:36Z,[{'activityID': '2023-02-06T11:58:00-FLR-001'}],2023-02-06T11:58:00-FLR-001
2023-02-07T03:12:00-CME-001,2023-02-07T03:12Z,[{'activityID': '2023-02-07T02:34:00-FLR-001'}],2023-02-07T02:34:00-FLR-001
2023-02-07T22:00:00-CME-001,2023-02-07T22:00Z,[{'activityID': '2023-02-07T21:21:00-FLR-001'}],2023-02-07T21:21:00-FLR-001
2023-02-08T17:06:00-CME-001,2023-02-08T17:06Z,"[{'activityID': '2023-02-08T15:28:00-FLR-001'}, {'activityID': '2023-02-12T09:50:00-IPS-001'}]",2023-02-08T15:28:00-FLR-001
2023-02-09T09:24:00-CME-001,2023-02-09T09:24Z,[{'activityID': '2023-02-09T08:49:00-FLR-001'}],2023-02-09T08:49:00-FLR-001
2023-02-11T11:12:00-CME-001,2023-02-11T11:12Z,"[{'activityID': '2023-02-13T15:28:00-IPS-001'}, {'activityID': '2023-02-13T17:02:00-IPS-001'}]",2023-02-13T15:28:00-IPS-001
2023-02-15T02:12:00-CME-001,2023-02-15T02:12Z,[{'activityID': '2023-02-15T01:08:00-FLR-001'}],2023-02-15T01:08:00-FLR-001
2023-02-16T10:48:00-CME-001,2023-02-16T10:48Z,[{'activityID': '2023-02-16T10:16:00-FLR-001'}],2023-02-16T10:16:00-FLR-001
2023-02-16T21:36:00-CME-001,2023-02-16T21:36Z,[{'activityID': '2023-02-16T20:39:00-FLR-001'}],2023-02-16T20:39:00-FLR-001
2023-02-17T20:23:00-CME-001,2023-02-17T20:23Z,"[{'activityID': '2023-02-17T19:38:00-FLR-001'}, {'activityID': '2023-02-20T08:58:00-IPS-001'}, {'activityID': '2023-02-20T09:52:00-IPS-001'}]",2023-02-17T19:38:00-FLR-001
2023-02-20T15:38:00-CME-001,2023-02-20T15:38Z,[{'activityID': '2023-02-20T14:47:00-FLR-001'}],2023-02-20T14:47:00-FLR-001
2023-02-21T02:48:00-CME-001,2023-02-21T02:48Z,[{'activityID': '2023-02-24T12:08:00-IPS-001'}],2023-02-24T12:08:00-IPS-001
2023-02-21T12:38:00-CME-001,2023-02-21T12:38Z,[{'activityID': '2023-02-21T11:05:00-FLR-001'}],2023-02-21T11:05:00-FLR-001
2023-02-21T20:48:00-CME-001,2023-02-21T20:48Z,[{'activityID': '2023-02-21T19:57:00-FLR-001'}],2023-02-21T19:57:00-FLR-001
2023-02-22T14:36:00-CME-001,2023-02-22T14:36Z,[{'activityID': '2023-02-25T10:00:00-IPS-001'}],2023-02-25T10:00:00-IPS-001
2023-02-24T20:36:00-CME-001,2023-02-24T20:36Z,"[{'activityID': '2023-02-24T20:03:00-FLR-001'}, {'activityID': '2023-02-24T21:53:00-SEP-001'}, {'activityID': '2023-02-24T21:53:00-SEP-002'}, {'activityID': '2023-02-26T14:30:00-IPS-001'}, {'activityID': '2023-02-26T18:43:00-IPS-001'}, {'activityID': '2023-02-26T21:26:00-MPC-001'}, {'activityID': '2023-02-27T03:00:00-GST-001'}, {'activityID': '2023-02-28T21:55:00-RBE-001'}]",2023-02-24T20:03:00-FLR-001
2023-02-25T19:38:00-CME-001,2023-02-25T19:38Z,"[{'activityID': '2023-02-25T18:40:00-FLR-001'}, {'activityID': '2023-02-25T20:41:00-SEP-001'}, {'activityID': '2023-02-25T21:00:00-SEP-001'}, {'activityID': '2023-02-25T21:00:00-SEP-002'}, {'activityID': '2023-02-25T21:10:00-SEP-001'}, {'activityID': '2023-02-25T21:56:00-SEP-001'}, {'activityID': '2023-02-25T21:57:00-SEP-001'}, {'activityID': '2023-02-25T23:19:00-SEP-001'}, {'activityID': '2023-02-25T23:19:00-SEP-002'}, {'activityID': '2023-02-27T00:00:00-IPS-001'}, {'activityID': '2023-02-27T10:15:00-IPS-001'}, {'activityID': '2023-02-28T21:55:00-RBE-001'}]",2023-02-25T18:40:00-FLR-001
